Deck Profile,Deck Name,Date,Country,Author,Placement,Tournament,Host,leader_id,set_name,extraction_dt
op12rosinante,PY Rosinante,3/22/2026,Oceania,Kenny Pham,T4,Regional,TAKGames,OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op14doffy,Purple Doffy,3/22/2026,Oceania,Yu Xuan Feng,T8,Regional,TAKGames,OP14-060,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13imu,Five Elders,3/22/2026,Oceania,Jasper Zowiesyah,T8,Regional,TAKGames,OP14-079,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op14mihawk,Green Mihawk,3/22/2026,Oceania,Tristan Leao,T8,Regional,TAKGames,OP14-020,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13ace,Red Blue Ace,3/22/2026,Oceania,Hubert Chau,T8,Regional,TAKGames,OP13-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/22/2026,Oceania,EM_TheKlet,T16,Regional,TAKGames,OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op14mihawk,Green Mihawk,3/22/2026,Oceania,Benny Zhang,22nd Place,Regional(7-3),TAKGames,OP14-020,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11luffy,UP Luffy,3/22/2026,Oceania,Taminat0r_,1st Place,TC(9-0),TAKGames,OP11-040,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11luffy,UP Luffy,3/22/2026,Oceania,SKYE_TCG,T4,TC(8-1),TAKGames,OP11-040,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12sanji,UP Sanji,3/22/2026,Oceania,ChopperOCE,T8,TC(8-1),TAKGames,OP12-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op14mihawk,Green Mihawk,3/22/2026,Oceania,Henry Lai,T8,TC,TAKGames,OP14-020,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op14mihawk,Green Mihawk,3/22/2026,NA,Jeff,1st Place,Regional(14-1),PlayTCG(1389),OP14-020,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/22/2026,NA,Ayden,T4,Regional(12-2),PlayTCG(1389),OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op1law,RG Law,3/22/2026,NA,DabloTcg,1st Place,TC,PlayTCG(250),OP01-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12sanji,UP Sanji,3/22/2026,NA,mcchileno24K,T8,TC,PlayTCG(250),OP12-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13imu,Five Elders,3/22/2026,NA,Kiyomaro,T8(pod C),TC,PlayTCG(250),OP13-079,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13luffy,RG Luffy,3/22/2026,NA,Zacat,T8,TC,PlayTCG(250),OP13-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/22/2026,NA,Billy Mac,T8,TC(7-1),PlayTCG,OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13ace,Red Blue Ace,3/22/2026,NA,Alexkage,T32,TC(6-2),PlayTCG(250),OP13-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op1law,RG Law,3/22/2026,Europe,fabby_gg,T8,Regional(11-2),OlliBaba,OP01-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12sanji,UP Sanji,3/22/2026,Europe,sleepingGen1us,T16,Regional(10-2),OlliBaba,OP12-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12sanji,UP Sanji,3/22/2026,Europe,DogXwisdom,T16,Regional(9-3),OlliBaba,OP12-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op1law,RG Law,3/22/2026,Europe,LukaTCG,T32,Regional,OlliBaba,OP01-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12sanji,UP Sanji,3/22/2026,Europe,Nightingale,1st Place,TC(9-0),OlliBaba,OP12-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13ace,Red Blue Ace,3/22/2026,Europe,Corbey,3rd Place,TC(8-1),OlliBaba,OP13-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11luffy,UP Luffy,3/22/2026,Europe,Rello22_OP,T8,TC(8-1),OlliBaba,OP11-040,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op1law,RG Law,3/22/2026,Europe,vincaruttv,T32,TC(7-2),OlliBaba,OP01-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op14boa,BY Boa,3/22/2026,Brazil,Yubel,1st Place,HeroinesCup(7-0),LGS,OP14-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op1zoro,Red Zoro,3/21/2026,USA,KarooKrew,1st Place,StoreTC(5-0),LGS(27),OP01-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/21/2026,Europe,SkepasG,T8,TC(8-1),OlliBaba,OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13ace,Red Blue Ace,3/21/2026,Canada,Mr Taco,1st Place,StoreTC(4-0),Players Cards n Collectibles,OP13-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op7bonney,G Bonney,3/20/2026,USA,Simon,1st Place,HeroinesCup (6-0),Kassars Games,OP07-019,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13ace,Red Blue Ace,3/20/2026,Panama,Smilian Zizic,1st Place,StoreTC(5-0),Korasama(25),OP13-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/20/2026,Italy,Dommy,1st Place,SB(5-0),La Casa dei Giochi(17),OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13luffy,RG Luffy,3/20/2026,Europe,Ryanredpanda,1st Place,StoreTC(5-0),LGS,OP13-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13luffy,RG Luffy,3/19/2026,Europe,Alessio Falegnami,1st Place,StoreTC(5-0),LGS,OP13-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
eb1oden,RG Oden,3/18/2026,UK,Warren,1st Place,SB(4-0),The Games Store(24),EB01-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/18/2026,Mexico,Pen Pen,1st Place,SB(4-0),Death Star Games(46),OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/18/2026,Italy,Zeon,1st Place,StoreTC(5-0),FANTASIASTORE(20),OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op7bonney,G Bonney,3/17/2026,NA,Tyler Tran,1st Place,StoreTC(4-0),Kanzen Games,OP07-019,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/17/2026,Canada,Luca,1st Place,StoreTC(5-0),Mypops,OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
eb3vivi,Vivi,3/16/2026,UK,Nefeltari D Knowledge,1st Place,StoreTC(4-0),The Gamers Lodge,EB03-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/15/2026,USA,bcl,1st Place,StoreTC(5-0),LGS,OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/15/2026,USA,Simon,1st Place,SB(4-0),Four Horsemen,OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13imu,Five Elders,3/15/2026,Thailand,Wasinha,1st Place,WorldChampionship,Bandai(32),OP13-079,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13ace,Red Blue Ace,3/15/2026,Taiwan,Johnson,3rd Place,WorldChampionship,Bandai(32),OP13-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11luffy,UP Luffy,3/15/2026,Singapore,Tee Han Yong,2nd Place,WorldChampionship,Bandai(32),OP11-040,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13imu,Five Elders,3/15/2026,Belgium,Doffy,T4,StoreTC(4-1),MagicFranco(33),OP13-079,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
st29luffy,Egghead Luffy,3/14/2026,USA,Danny,1st Place,StoreTC(4-0),LGS,ST29-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op7bonney,G Bonney,3/14/2026,USA,armangh333,1st Place,StoreTC(4-0),Bochum,OP07-019,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/14/2026,Spain,chest95,1st Place,StoreTC(5-0),GeeklogiaShop(32),OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op14mihawk,Green Mihawk,3/14/2026,Spain,Crispy_94,1st Place,StoreTC(5-0),Oz Juegos(32),OP14-020,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/14/2026,Germany,Purple,1st Place,HeroinesCup(4-0),Hiveworld,OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/14/2026,Germany,Shad0ww1ng,1st Place,StoreTC(5-0),cardcatcher(32),OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13ace,Red Blue Ace,3/14/2026,Europe,NikolayBaydanov,1st Place,optcgsim(10-1-0),ChinoizeCup(171),OP13-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11luffy,UP Luffy,3/14/2026,Europe,Ho D Jones S,2nd Place,optcgsim(9-2-0),ChinoizeCup(171),OP11-040,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/14/2026,Europe,CKK,T4,optcgsim,ChinoizeCup(171),OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13ace,Red Blue Ace,3/14/2026,Europe,asce712,T4,optcgsim(7-3-0),ChinoizeCup(171),OP13-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11luffy,UP Luffy,3/14/2026,Europe,Djibril,T8,optcgsim,ChinoizeCup(171),OP11-040,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/14/2026,Europe,Potlehio,T8,optcgsim,ChinoizeCup(171),OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13imu,Five Elders,3/14/2026,Europe,David M V,T8,optcgsim,ChinoizeCup(171),OP13-079,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13ace,Red Blue Ace,3/14/2026,Europe,Alelevilla,T8,optcgsim(7-1-0),ChinoizeCup(171),OP13-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
eb2luffy,GP Luffy,3/14/2026,Canada,flxwfps,1st Place,StoreTC(4-0),Hobby Knight,EB02-010,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13imu,Five Elders,3/14/2026,Australia,Domenic_PX3,1st Place,2StoreTC(8-0),Beyond Odyssey,OP13-079,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/13/2026,USA,Simon,1st Place,SB(3-0),Kassars Games,OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13bonney,Yellow Bonney,3/13/2026,USA,Muerganudo,1st Place,HeroinesCup(5-0),Project KE(28),OP13-100,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op14mihawk,Green Mihawk,3/13/2026,Australia,Vayblade,1st Place,StoreTC(5-0),The Dragons Beard(32),OP14-020,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13ace,Red Blue Ace,3/13/2026,Argentina,Onogor,1st Place,SB(5-0),5alaCara(21),OP13-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13ace,Red Blue Ace,3/12/2026,Italy,Requiem,1st Place,ShopEvent(5-0),THE EMPERORS LEGUE(18),OP13-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op14mihawk,Green Mihawk,3/12/2026,Argentina,Mancock,1st Place,SB(5-0),Hadouken(17),OP12-034,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/11/2026,USA,Kitsune,1st Place,SB(4-0),PokeOasis,OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
eb3vivi,Vivi,3/11/2026,NA,Wesley,1st Place,Heroines(5-0),HG(20),EB03-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op7bonney,G Bonney,3/11/2026,Mexico,LuisRamon13,1st Place,HeroinesCup (5-0),Death Star Games(32),OP07-019,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op10sugar,Sugar,3/11/2026,Mexico,ElNieves,1st Place,HeroinesCup (5-0),Death Star Games(32),OP10-003,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/10/2026,Argentina,Donjijote,1st Place,SB(4-0),5alaCara(14),OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op7bonney,G Bonney,3/9/2026,Italy,NumeroNove,1st Place,SB(4-0),LGS,OP07-019,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/9/2026,Europe,BeniMendz,1st Place,SB(5-0),Regional Mallorquin,OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/9/2026,Belgium,Tekken no Karakan,1st Place,HeroinesCup(4-0),Outpost Gamecenter(16),OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op14boa,BY Boa,3/9/2026,Argentina,Ch1w1,1st Place,SB(5-0),Misato comics(18),OP14-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op7bonney,G Bonney,3/8/2026,UK,Joe,1st Place,HeroinesCup,LGS,OP07-019,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op14boa,BY Boa,3/8/2026,Spain,Linlin,1st Place,HeroinesCup(4-0),Kritik,OP14-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/8/2026,Germany,TrappiTCG,1st Place,HeroinesCup(4-0),LGS,OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op4doffy,GP Doffy,3/8/2026,Canada,Roykira,1st Place,SB(3-0),Dicey Business,OP04-019,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op9robin,Robin,3/8/2026,Australia,jessjenius,1st Place,HeroinesCup,LGS,OP09-062,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op14mihawk,Green Mihawk,3/8/2026,Argentina,Gustav,1st Place,SB(5-0),5alaCara(28),OP14-020,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13ace,Red Blue Ace,3/7/2026,USA,JP ODonnell,1st Place,ShopEvent(6-0),BrainwashCards,OP13-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op5betty,Betty,3/7/2026,USA,C9GolemBlue,1st Place,SB,Joyful Toad(12),OP05-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/7/2026,USA,Just A Casual,1st Place,HeroinesCup(5-0),Mitsuwa,OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op8pudding,Pudding,3/7/2026,USA,Haver,1st Place,HeroinesCup(4-0),GamesnComics(24),OP08-058,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op9lim,Lim,3/7/2026,USA,junichihuff,1st Place,HeroinesCup(5-0),Magic and Monsters,OP09-022,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
eb3vivi,Vivi,3/7/2026,Spain,Raul,1st Place,SB(5-0),GeeklogiaShop,EB03-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
eb3vivi,Vivi,3/7/2026,Europe,SkepasG,1st Place,HeroinesCup(5-0),LGS,EB03-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op14mihawk,Green Mihawk,3/7/2026,Argentina,RainyDevil,1st Place,SB(5-0),Dimagames(36),OP14-020,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11shirahoshi,GY Shirahoshi,3/6/2026,USA,KZ,1st Place,Redbull,The Booster Box(64),OP11-022,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op7bonney,G Bonney,3/6/2026,USA,Tsuki,2nd Place,Redbull,The Booster Box(64),OP07-019,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13imu,Five Elders,3/6/2026,USA,NatsuPham,T4,Redbull,The Booster Box(64),OP13-079,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/6/2026,USA,Uta4Life ESE,T4,Redbull,The Booster Box(64),OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op10sugar,Sugar,3/6/2026,USA,Eduardo C,1st Place,HeroinesCup(4-0),Table 1 gaming(24),OP10-003,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11shirahoshi,GY Shirahoshi,3/6/2026,Italy,Subaru,1st Place,ShopEvent(5-0),La Casa dei Giochi(21),OP11-022,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
p117nami,Promo Nami,3/6/2026,Europe,Angelo T,1st Place,HeroinesCup(4-0),LGS,P-117,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/6/2026,Argentina,Haru,1st Place,SB(5-0),RanchoStore(34),OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/6/2026,Argentina,Donjijote,1st Place,SB(4-0),5alaCara(14),OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11luffy,UP Luffy,3/6/2026,Argentina,Litox,1st Place,SB(5-0),Abismo de Helm(20),OP11-040,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
p117nami,Promo Nami,3/5/2026,USA,plasticbeachx,1st Place,HeroinesCup,The Dugout(16),OP03-040,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12koala,Koala,3/5/2026,USA,TrackTeacher,1st Place,HeroinesCup(5-0),Oinkers Island(32),OP12-081,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op14doffy,Purple Doffy,3/5/2026,USA,Andy Rodriguez,1st Place,SB(4-0),Geek Out,OP14-060,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op7bonney,G Bonney,3/5/2026,Mexico,JoelLCN,1st Place,HeroinesCup(5-0),Hobby Quest(32),OP07-019,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
eb3vivi,Vivi,3/5/2026,Chile,Jorge Racabal,1st Place,SB(4-0),Nakama,EB03-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op1law,RG Law,3/4/2026,South Africa,ScreechTCG,1st Place,SB(4-0),WizardsCollect(15),OP01-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op7bonney,G Bonney,3/4/2026,Europe,Heyzeus,1st Place,HeroinesCup(5-0),LGS,OP07-019,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
eb3vivi,Vivi,3/4/2026,Canada,Charles,1st Place,HeroinesCup(5-0),LGS,EB03-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
eb3vivi,Vivi,3/3/2026,USA,flxwfps,1st Place,2HeroinesCup(10-0),LGS,EB03-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11luffy,UP Luffy,3/3/2026,USA,mynameisjapes,1st Place,optcgsim(6-0),TheEgman(64),OP11-040,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
eb3vivi,Vivi,3/3/2026,South Africa,SuperKingCam,1st Place,SB(4-0),SwordnBoard(11),EB03-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/3/2026,Germany,Vosdron,1st Place,SB(4-0),Nextturncards(14),OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13sabo,RB Sabo,3/3/2026,Australia,Seniru,1st Place,SB(4-0),Grand J Store(27),OP13-004,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op9lim,Lim,3/3/2026,Argentina,Sainto D Christo,1st Place,ShopEvent,Magic Games,OP09-022,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/2/2026,USA,Wesley,1st Place,SB(4-0),LGS,OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12koala,Koala,3/2/2026,NA,dekumxsk,1st Place,HeroinesCup(4-0),LGS,OP12-081,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11shirahoshi,GY Shirahoshi,3/2/2026,NA,coldbrewyaoi,T4,HeroinesCup(4-1),LGS,OP11-022,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
eb2luffy,GP Luffy,3/2/2026,Italy,ZunaaaaY,2nd Place,ShopEvent(4-1),LGS,EB02-010,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
eb3vivi,Vivi,3/2/2026,Europe,Luigi Amato,1st Place,HeroinesCup(4-0),LGS,EB03-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op6yamato,GY Yamato,3/2/2026,Europe,Krullzor,T4,HeroinesCup(4-1),LGS,OP06-022,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/1/2026,USA,plasticbeachx,1st Place,Redbull,The Dugout(64),OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13imu,Five Elders,3/1/2026,USA,Buck,1st Place,Redbull(9-2),The Gaming Guild(64),OP13-079,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/1/2026,USA,Yuno,2nd Place,Redbull(9-2),The Gaming Guild(64),OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/1/2026,USA,Jacob C,1st Place,HeroinesCup(4-0),Gameland LLC,OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/1/2026,USA,Ronin,1st Place,HeroinesCup,Retro Quest,OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op10sugar,Sugar,3/1/2026,USA,Scooter,1st Place,HeroinesCup(4-0),LGS,OP10-003,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op7bonney,G Bonney,3/1/2026,USA,JoiiBoii,1st Place,HeroinesCup(5-0),Dreamdaze Comics,OP07-019,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11shirahoshi,GY Shirahoshi,3/1/2026,USA,Dexter Reilley,1st Place,Redbull(8-1),LGS,OP11-022,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11shirahoshi,GY Shirahoshi,3/1/2026,USA,MacKenzie Bruce,1st Place,HeroinesCup(6-0),Fabricators Forge,OP11-022,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
eb3vivi,Red Blue Vivi,3/1/2026,USA,mattonio,1st Place,HeroinesCup(5-0),Four Horsemen Comics n Gaming,EB03-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
eb3vivi,Vivi,3/1/2026,Italy,Alessio_r7,1st Place,HeroinesCup(5-0),Kingtoy,EB03-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op8carrot,G Carrot,3/1/2026,Europe,MerryTCG,1st Place,HeroinesCup(5-0),LGS,OP08-021,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/1/2026,Europe,Malfegor,1st Place,ShopEvent,Masters of TCG(54),OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/1/2026,Europe,Dennis R,2nd Place,ShopEvent,Masters of TCG(54),OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op11nami,BY Nami,3/1/2026,Europe,Jrpriest,3rd Place,ShopEvent,Masters of TCG(54),OP11-041,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13ace,Red Blue Ace,3/1/2026,Europe,Jellybeanzs,4th Place,ShopEvent,Masters of TCG(54),OP13-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
