deck_name,finish_dt,placement,tournament,host,set_name,leader_id,leader_name,color,color_numbers,primary_color,secondary_color,life,power
Red Blue Lucy,2026-03-23,1st,optcgsim,ChinoizeCup,op15-eb04-deck-list-adventure-on-kamis-island,OP15-002,Lucy,Red/Blue,2,Red,Blue,4,5000
Red Blue Lucy,2026-03-24,T8,optcgsim,ChinoizeCup,op15-eb04-deck-list-adventure-on-kamis-island,OP15-002,Lucy,Red/Blue,2,Red,Blue,4,5000
BY Luffy,2024-06-08,T4,Regional,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST13-003,Monkey.D.Luffy,Black/Yellow,2,Black,Yellow,4,5000
BY Luffy,2024-06-15,T32,Regional,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST13-003,Monkey.D.Luffy,Black/Yellow,2,Black,Yellow,4,5000
BY Luffy,2024-06-15,T32,Regional,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST13-003,Monkey.D.Luffy,Black/Yellow,2,Black,Yellow,4,5000
BY Luffy,2024-06-03,1st,SB,DollyBackFight,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST13-003,Monkey.D.Luffy,Black/Yellow,2,Black,Yellow,4,5000
BY Luffy,2024-06-15,1st,Regional,OPE,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST13-003,Monkey.D.Luffy,Black/Yellow,2,Black,Yellow,4,5000
BY Luffy,2024-05-26,1st,TC,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST13-003,Monkey.D.Luffy,Black/Yellow,2,Black,Yellow,4,5000
BY Luffy,2024-06-15,T16,Regional,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST13-003,Monkey.D.Luffy,Black/Yellow,2,Black,Yellow,4,5000
BY Luffy,2024-05-18,T16,Treasure Cup,CartaMagica,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST13-003,Monkey.D.Luffy,Black/Yellow,2,Black,Yellow,4,5000
BY Luffy,2024-06-15,T16,Regional,OPE,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST13-003,Monkey.D.Luffy,Black/Yellow,2,Black,Yellow,4,5000
BY Luffy,2024-06-08,1st,Regional,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST13-003,Monkey.D.Luffy,Black/Yellow,2,Black,Yellow,4,5000
BY Luffy,2024-06-15,T16,Regional,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST13-003,Monkey.D.Luffy,Black/Yellow,2,Black,Yellow,4,5000
BY Luffy,2024-06-09,2nd,SB,ManaVortex,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST13-003,Monkey.D.Luffy,Black/Yellow,2,Black,Yellow,4,5000
Black Moria,2024-05-01,2nd,SB,KaizokuTCG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Blue Ivankov,2024-06-14,1st,SB,The Gaming Verse,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-049,Emporio.Ivankov,Blue,1,Blue,--,5,5000
Blue Ivankov,2024-06-15,1st,3on3,Beyond Odysseys,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-049,Emporio.Ivankov,Blue,1,Blue,--,5,5000
Blue Ivankov,2024-06-11,1st,SB,GoodGames,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-049,Emporio.Ivankov,Blue,1,Blue,--,5,5000
Blue Ivankov,2024-06-12,1st,SB,Bazaar Trader,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-049,Emporio.Ivankov,Blue,1,Blue,--,5,5000
Blue Nami,2024-06-15,T8,Regional,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP03-040,Nami,Blue,1,Blue,--,5,5000
Blue Nami,2024-06-15,T8,Regional,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP03-040,Nami,Blue,1,Blue,--,5,5000
Blue Nami,2024-05-18,T4,Treasure Cup,CartaMagica,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP03-040,Nami,Blue,1,Blue,--,5,5000
Blue Purple Hannyabal,2024-05-18,1st,SB,Counterplay Comics,eb-01-memorial-set-op-07-500-years-into-the-future-decks,EB01-021,Hannyabal,Blue/Purple,2,Blue,Purple,4,5000
Blue Yellow Ace,2024-05-18,1st,SB,Gamers,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST13-002,Portgas.D.Ace,Blue/Yellow,2,Blue,Yellow,4,5000
Blue Yellow Ace,2024-05-08,2nd,SB,Dal Benza,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST13-002,Portgas.D.Ace,Blue/Yellow,2,Blue,Yellow,4,5000
Edward Newgate,2024-05-18,T16,Treasure Cup,CartaMagica,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Edward Newgate,2024-05-26,T64,Regional,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Edward Newgate,2024-05-12,1st,Side Event,OPE,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Edward Newgate,2024-06-01,T8,Regional,CoreTCG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Edward Newgate,2024-05-11,T16,Regional,TAK,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Edward Newgate,2024-05-11,2nd,SB,Akai Games,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Edward Newgate,2024-05-11,T8,Regional,TAK,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Edward Newgate,2024-05-25,1st,Regional,TopCut Events,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Edward Newgate,2024-05-11,T8,Regional,CartaMagica,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Edward Newgate,2024-05-12,2nd,Side Event,OPE,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Edward Newgate,2024-05-12,2nd,Side Event,OPE,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Edward Newgate,2024-05-18,T32,Treasure Cup,CartaMagica,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Gecko Moria,2024-05-11,T16,Regional,TAK,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-15,T16,Regional,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-06,1st,SB,OPTCG Colosseum,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-11,1st,Regional,TAK,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-08,T8,Regional,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-18,T4,Regional,Toulouse,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-09,1st,SB,LGS,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-18,T8,Treasure Cup,CartaMagica,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-15,T16,Regional,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-05,1st,SB,Weatherlight,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-08,T8,Regional,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-15,T4,Regional,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-04,1st,Treasure Cup,Noheroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-15,T16,Regional,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-15,T8,Regional,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-16,1st,Side Event,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-04,T4,Regional,SangSang Events,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-06,T4,SB,OPTCG Colosseum,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-15,T16,Regional,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-15,T16,Regional,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-04,1st,Regional,SangSang Events,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-08,T8,Regional,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-11,T8,Regional,CartaMagica,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-08,T4,Regional,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-04,T4,Treasure Cup,Noheroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-05,T32,Treasure Cup,LatamTCG Events,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-15,T16,Regional,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-11,1st,SB,Joondalup Goodgame,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-18,T4,Treasure Cup,CartaMagica,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-19,T16,Treasure Cup,TAK,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-15,T16,Regional,OPE,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-05,2nd,SB,HorizonTCG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-19,T4,Treasure Cup,TAK,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-11,2nd,Regional,CartaMagica,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-08,T4,Regional,PlayTCG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-05,T4,Treasure Cup,LatamTCG Events,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-25,T16,Regional,TopCut Events,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-10,1st,SB,Herofreaks,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-11,T32,Treasure Cup,TopCuts,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-04,T32,Treasure Cup,CoreTCG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-04,T16,Regional,SangSang Events,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-11,T16,Regional,TAK,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-16,1st,SB,OP Colosseum,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-26,2nd,TC,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-15,T8,Regional,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-06-15,T4,Regional,OPE,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-10,1st,SB,LGS,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-11,T16,Regional,TAK,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-12,T4,Side Event,OPE,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-25,T4,Regional,TopCut Events,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Gecko Moria,2024-05-11,T16,Regional,TAK,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-080,Gecko Moria,Black,1,Black,--,5,5000
Green Black Perona,2024-05-05,T32,Treasure Cup,LatamTCG Events,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-021,Perona,Green/Black,2,Green,Black,4,5000
Green Kid,2024-05-10,1st,TB,Arche Tellus Gaming,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST02-001,"Eustass""Captain""Kid",Green,1,Green,--,5,5000
Green Kinemon,2024-06-02,1st,SB,Nekos,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-025,Kin'emon,Green,1,Green,--,5,5000
Green Purple Doffy,2024-05-09,1st,TB,The Vault Game Store,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP04-019,Donquixote Doflamingo,Green/Purple,2,Green,Purple,4,5000
Green Uta,2024-05-11,1st,Regional,Milan Regional,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST11-001,Uta,Green,1,Green,--,5,5000
Green Uta,2024-05-11,T16,Regional,TAK,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST11-001,Uta,Green,1,Green,--,5,5000
Green Uta,2024-05-02,T4,SB,OPTCG Collesseum,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST11-001,Uta,Green,1,Green,--,5,5000
Green Uta,2024-05-16,2nd,SB,Horizon,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST11-001,Uta,Green,1,Green,--,5,5000
Green Uta,2024-05-11,T16,Regional,CartaMagica,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST11-001,Uta,Green,1,Green,--,5,5000
Green Uta,2024-05-04,T8,Regional,SangSang Events,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST11-001,Uta,Green,1,Green,--,5,5000
Green Uta,2024-05-16,2nd,SB,OP Colosseum,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST11-001,Uta,Green,1,Green,--,5,5000
Green Uta,2024-05-12,1st,Side Event,OPE,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST11-001,Uta,Green,1,Green,--,5,5000
Green Uta,2024-06-15,T16,Regional,OPE,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST11-001,Uta,Green,1,Green,--,5,5000
"Green Uta( won 2x Yamato, RP Law, and Blue Doffy)",2024-06-02,1st,SB,Tsundoku Comics,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST11-001,Uta,Green,1,Green,--,5,5000
Katakuri,2024-06-03,T4,SB,DollyBackFight,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP03-099,Charlotte Katakuri,Yellow,1,Yellow,--,5,5000
Katakuri,2024-05-18,T8,Treasure Cup,CartaMagica,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP03-099,Charlotte Katakuri,Yellow,1,Yellow,--,5,5000
Katakuri,2024-05-11,2nd,Regional,Milan Regional,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP03-099,Charlotte Katakuri,Yellow,1,Yellow,--,5,5000
Katakuri,2024-05-19,1st,SB,Nekos,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP03-099,Charlotte Katakuri,Yellow,1,Yellow,--,5,5000
Katakuri,2024-05-11,T4,SB,Akai Games,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP03-099,Charlotte Katakuri,Yellow,1,Yellow,--,5,5000
Purple Luffy,2024-06-05,1st,SB,LGS,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP05-060,Monkey.D.Luffy,Purple,1,Purple,--,5,5000
Purple Reiju,2024-05-18,T64,Regional,Toulouse,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-042,Vinsmoke Reiju,Blue/Purple,2,Blue,Purple,4,5000
Purple Reiju,2024-06-08,T8,Regional,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP06-042,Vinsmoke Reiju,Blue/Purple,2,Blue,Purple,4,5000
Purple Yellow Crocodile,2024-05-27,1st,SB,LGS,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP04-058,Crocodile,Purple/Yellow,2,Purple,Yellow,4,5000
Queen,2024-05-11,T4,SB,Akai Games,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP04-040,Queen,Blue/Yellow,2,Blue,Yellow,4,5000
Queen,2024-05-20,2nd,SB,Dolly Back Fight,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP04-040,Queen,Blue/Yellow,2,Blue,Yellow,4,5000
Red Edward Newgate,2024-05-04,T8,Treasure Cup,CoreTCG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Red Edward Newgate,2024-05-04,2nd,Treasure Cup,Noheroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Red Edward Newgate,2024-05-07,T4,WinABox,EgmanEvents,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Red Edward Newgate,2024-05-05,T8,Treasure Cup,LatamTCG Events,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Red Edward Newgate,2024-05-04,T32,Treasure Cup,CoreTCG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP02-001,Edward.Newgate,Red,1,Red,--,6,6000
Red Green Law,2024-05-21,1st,SB,Industria 61,eb-01-memorial-set-op-07-500-years-into-the-future-decks,OP01-002,Trafalgar Law,Red/Green,2,Red,Green,4,5000
Red Purple Law,2024-05-25,2nd,Regional,TopCut Events,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-05-08,1st,SB,Psycho Turtle Collectibles,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-05-04,T8,Regional,SangSang Events,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-05-11,1st,SB,Layton Gaming,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-06-15,T16,Regional,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-06-15,T32,Regional,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-06-15,T32,Regional,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-05-04,T16,Regional,SangSang Events,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-06-01,2nd,Regional,CoreTCG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-05-23,1st,SB,Horizon,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-06-03,2nd,SB,DollyBackFight,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-05-02,T4,SB,OPTCG Collesseum,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-05-07,2nd,WinABox,EgmanEvents,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-06-15,T32,Regional,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-05-18,1st,Treasure Cup,CartaMagica,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-05-19,1st,Webcam,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-05-07,T8,WinABox,EgmanEvents,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-05-11,T8,Regional,CartaMagica,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-05-11,1st,SB,LGS,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-06-08,2nd,Regional,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Law,2024-06-15,2nd,Regional,NoHeroes,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-001,Trafalgar Law,Red/Purple,2,Red,Purple,4,5000
Red Purple Luffy,2024-06-15,T32,Regional,PPG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-002,Monkey.D.Luffy,Red/Purple,2,Red,Purple,3,6000
Red Purple Luffy,2024-06-01,T8,Regional,CoreTCG,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-002,Monkey.D.Luffy,Red/Purple,2,Red,Purple,3,6000
Red Purple Luffy,2024-06-02,1st,Side Event,OPE,eb-01-memorial-set-op-07-500-years-into-the-future-decks,ST10-002,Monkey.D.Luffy,Red/Purple,2,Red,Purple,3,6000
